TumoID,BirthDate,Classification,Status,StudentSchedule,AttendingSince,RetentionByMonths,RetentionGrouped,Age,Present,PresenceRatio
2.50313E+11,14-Sep-06,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,18,18,81
2.50313E+11,29-Nov-08,T,Suspended,Thursday 15:30,10-Apr-25,3,0.1 - 0.5 Year,16,10,50
2.50313E+11,17-Jun-11,T,Active,Friday 17:30,7-Apr-25,3,0.1 - 0.5 Year,14,18,94
2.50313E+11,31-Jan-13,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,20,95
2.50313E+11,9-Mar-13,T,Active,Thursday 15:30,10-Apr-25,3,0.1 - 0.5 Year,12,20,83
2.50313E+11,7-May-10,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,15,17,85
2.50313E+11,12-Jan-10,T,Active,Saturday 17:30,9-Apr-25,3,0.1 - 0.5 Year,15,16,84
2.50314E+11,8-Mar-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,23,88
2.50314E+11,5-Oct-10,T,Active,Friday 15:30,7-Apr-25,3,0.1 - 0.5 Year,14,15,78
2.50314E+11,12-Dec-10,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,14,19,100
2.41125E+11,6-Oct-10,T,Active,Monday 17:30,10-Mar-25,4,0.1 - 0.5 Year,14,12,33
2.31116E+11,5-May-09,M,Active,Friday 17:30,11-Mar-24,16,1 - 1.5 Year,16,96,90
2.50315E+11,1-Feb-13,T,Active,Saturday 11:30,10-May-25,2,0.1 - 0.5 Year,12,10,66
2.50315E+11,5-Sep-12,T,Suspended,Monday 17:30,7-Apr-25,3,0.1 - 0.5 Year,12,11,52
2.50315E+11,29-Oct-12,T,Freeze,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,12,13,68
2.20604E+11,27-Mar-10,U,Active,Monday 15:30,14-Nov-22,32,2.5 - 3 Year,15,87,55
2.50315E+11,24-Jan-08,T,Active,Monday 19:30,7-Apr-25,3,0.1 - 0.5 Year,17,19,65
2.41125E+11,3-Nov-12,U,Active,Monday 15:30,2-Dec-24,7,0.5 - 1 Year,12,38,79
2.31116E+11,17-Jun-11,U,Active,Thursday 17:30,14-Mar-24,16,1 - 1.5 Year,14,57,71
2.30223E+11,18-Feb-11,M,Active,Friday 17:30,11-Sep-23,22,1.5 - 2 Year,14,113,81
2.50315E+11,11-Oct-12,T,Freeze,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,12,16,80
2.50315E+11,12-Feb-13,T,Suspended,Sunday 17:30,8-Apr-25,3,0.1 - 0.5 Year,12,20,83
2.50315E+11,28-Feb-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,23,92
2.30302E+11,1-Oct-10,M,Active,Friday 15:30,14-Sep-23,22,1.5 - 2 Year,14,104,86
2.30424E+11,18-Mar-11,U,Active,Monday 17:30,9-Nov-23,20,1.5 - 2 Year,14,70,69
2.50316E+11,12-Mar-12,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,13,25,100
